sample_ID,t_temp,t_DO_p,t_DO,t_SpCond,t_TDS,t_SAL,t_pH,b_temp,b_DO_p,b_DO,b_SpCond,b_TDS,b_SAL,b_pH,s_temp,s_pH,b_CaCO3 ,t_CaCO3 ,b_Ammonia_N,t_Ammonia_N,b_Calcium,t_Calcium,b_Chloride,t_Chloride,b_Fluoride,t_Fluoride,b_Magnesium,t_Magnesium,b_Nitrate_Nitrite_N,t_Nitrate_Nitrite_N,b_Nitrogen_Total,t_Nitrogen_Total,b_Nitrogen_Total_Dissolved,t_Nitrogen_Total_Dissolved,b_Phosphorus_SRP,t_Phosphorus_SRP,b_Phosphorus_Total,t_Phosphorus_Total,b_Potassium,t_Potassium,b_Silica,t_Silica,b_Sodium,t_Sodium,b_Sulfate,t_Sulfate
TorontoHarbour_1381_2_ShipChannel,16.9,81.5,7.84,366.8,0.24,0.18,7.86,16.7,84.7,8.24,365.8,0.24,0.18,7.88,16.4,7.05,93.6,93.7,0.091,0.104,36.7,36.5,39.4,38.5,0.11,0.11,9,9.23,0.339,0.317,0.283,0.303,0.517,0.304,0.0168,0.0174,0.0263,0.0263,1.87,1.88,1.32,1.2,24,23.7,24.1,24.5
TorontoHarbour_1381_3_ShipChannel,16.9,81.5,7.84,366.8,0.24,0.18,7.86,16.7,84.7,8.24,365.8,0.24,0.18,7.88,16.4,7.05,93.6,93.7,0.091,0.104,36.7,36.5,39.4,38.5,0.11,0.11,9,9.23,0.339,0.317,0.283,0.303,0.517,0.304,0.0168,0.0174,0.0263,0.0263,1.87,1.88,1.32,1.2,24,23.7,24.1,24.5
TorontoHarbour_1384_1_ShipTurningBasin,16.7,78.2,7.5,376.6,0.24,0.18,7.91,16.9,80.1,7.76,386.4,0.25,0.19,7.88,17.1,6.6,94.9,94.3,0.123,0.133,37.1,36.6,44.4,41.4,0.11,0.11,9.19,9.18,0.329,0.31,0.268,0.329,0.325,0.364,0.017,0.0197,0.0304,0.0306,1.89,1.93,1.37,1.28,27.2,25.4,24.7,24.7
TorontoHarbour_1384_2_ShipTurningBasin,16.7,78.2,7.5,376.6,0.24,0.18,7.91,16.9,80.1,7.76,386.4,0.25,0.19,7.88,17.1,6.6,94.9,94.3,0.123,0.133,37.1,36.6,44.4,41.4,0.11,0.11,9.19,9.18,0.329,0.31,0.268,0.329,0.325,0.364,0.017,0.0197,0.0304,0.0306,1.89,1.93,1.37,1.28,27.2,25.4,24.7,24.7
TorontoHarbour_1384_3_ShipTurningBasin,16.7,78.2,7.5,376.6,0.24,0.18,7.91,16.9,80.1,7.76,386.4,0.25,0.19,7.88,17.1,6.6,94.9,94.3,0.123,0.133,37.1,36.6,44.4,41.4,0.11,0.11,9.19,9.18,0.329,0.31,0.268,0.329,0.325,0.364,0.017,0.0197,0.0304,0.0306,1.89,1.93,1.37,1.28,27.2,25.4,24.7,24.7
TorontoHarbour_1401_1_TorontoIsland,17,88.6,8.56,333.2,0.22,0.16,8,16.6,88.7,8.62,333.6,0.22,0.16,7.98,16.8,7.33,98.1,97.8,0.029,0.02,37.1,37.1,28.9,28.9,0.12,0.12,9.17,9.19,0.024,0.026,0.495,0.495,0.31,0.266,0.0033,0.0028,0.0449,0.0492,1.93,1.93,0.93,0.84,17.9,17.8,23.8,23.8
TorontoHarbour_1401_2_TorontoIsland,17,88.6,8.56,333.2,0.22,0.16,8,16.6,88.7,8.62,333.6,0.22,0.16,7.98,16.8,7.33,98.1,97.8,0.029,0.02,37.1,37.1,28.9,28.9,0.12,0.12,9.17,9.19,0.024,0.026,0.495,0.495,0.31,0.266,0.0033,0.0028,0.0449,0.0492,1.93,1.93,0.93,0.84,17.9,17.8,23.8,23.8
TorontoHarbour_1401_3_TorontoIsland,17,88.6,8.56,333.2,0.22,0.16,8,16.6,88.7,8.62,333.6,0.22,0.16,7.98,16.8,7.33,98.1,97.8,0.029,0.02,37.1,37.1,28.9,28.9,0.12,0.12,9.17,9.19,0.024,0.026,0.495,0.495,0.31,0.266,0.0033,0.0028,0.0449,0.0492,1.93,1.93,0.93,0.84,17.9,17.8,23.8,23.8
TorontoHarbour_1403_1_TorontoIsland,16.4,84.3,8.25,335.3,0.22,0.16,7.95,16.2,86.2,8.47,333.7,0.22,0.16,7.94,17.6,7.29,98.3,98.6,0.025,0.016,37.3,37.3,28.6,28.6,0.12,0.12,9.19,9.16,0.06,0.044,0.404,0.495,0.265,0.269,0.0011,0.0015,0.0368,0.0356,1.96,1.95,0.6,0.28,17.7,17.7,23.6,23.4
TorontoHarbour_1403_2_TorontoIsland,16.4,84.3,8.25,335.3,0.22,0.16,7.95,16.2,86.2,8.47,333.7,0.22,0.16,7.94,17.6,7.29,98.3,98.6,0.025,0.016,37.3,37.3,28.6,28.6,0.12,0.12,9.19,9.16,0.06,0.044,0.404,0.495,0.265,0.269,0.0011,0.0015,0.0368,0.0356,1.96,1.95,0.6,0.28,17.7,17.7,23.6,23.4
